City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
172,alice springs,0,AU,1563163226,33,-23.7,133.88,59.0,12.75
173,mandurah,0,AU,1563163514,48,-32.55,115.7,66.0,16.11
174,srednekolymsk,100,RU,1563163434,65,67.46,153.71,55.53,6.11
175,saldanha,0,PT,1563163514,66,41.42,-6.55,67.77,4.07
176,kilindoni,35,TZ,1563163515,72,-7.91,39.67,78.21,19.93
177,amahai,96,ID,1563163430,82,-3.31,129.0,76.77,13.53
178,sao filipe,51,CV,1563163238,89,14.9,-24.5,73.53,13.24
179,saint-philippe,1,CA,1563163409,68,45.36,-73.48,69.01,8.77
180,ostrovnoy,100,RU,1563163434,90,68.05,39.51,43.29,7.38
181,sungaipenuh,75,ID,1563163515,66,-2.08,101.38,83.25,3.62
182,izhma,100,RU,1563163515,90,65.01,53.91,54.45,3.65
183,los llanos de aridane,20,ES,1563163279,83,28.66,-17.92,71.6,13.87
184,padang,100,ID,1563163236,71,-0.92,100.36,81.81,6.08
185,pevek,100,RU,1563163278,97,69.7,170.27,33.93,15.99
186,revda,74,RU,1563163516,90,67.94,34.55,41.85,4.23
187,agapovka,75,RU,1563163516,44,53.3,59.13,75.2,11.18
188,road town,1,VG,1563163393,74,18.42,-64.62,82.4,11.41
189,probolinggo,33,ID,1563163516,60,-7.74,113.22,68.49,3.06
190,dawei,100,MM,1563163322,73,14.07,98.19,82.53,6.13
191,alvaraes,33,BR,1563163516,96,-3.22,-64.8,72.09,2.17
192,makakilo city,40,US,1563163328,48,21.35,-158.09,87.8,12.75
193,nanortalik,93,GL,1563163398,95,60.14,-45.24,38.97,1.88
194,hambantota,75,LK,1563163517,79,6.12,81.12,86.0,10.29
195,leningradskiy,100,RU,1563163442,96,69.38,178.42,36.81,2.37
196,dunedin,45,NZ,1563163287,71,-45.87,170.5,48.99,14.0
197,thompson,90,CA,1563163410,68,55.74,-97.86,64.4,3.36
198,kodiak,1,US,1563163223,78,39.95,-94.76,81.0,8.05
199,tres arroyos,99,AR,1563163517,85,-38.38,-60.28,45.09,9.6
200,saint-pierre,90,FR,1563163420,87,48.95,4.24,57.2,10.29
201,chuy,7,UY,1563163414,89,-33.69,-53.46,46.17,4.18
202,sabalgarh,39,IN,1563163517,56,26.25,77.41,87.57,15.9
203,luleburgaz,6,TR,1563163517,100,41.4,27.36,63.0,9.17
204,hami,95,CN,1563163384,15,42.84,93.51,87.93,11.34
205,hohhot,0,CN,1563163239,42,40.81,111.65,82.4,4.47
206,moerai,0,PF,1563163518,69,-22.43,-151.33,71.01,10.94
207,bol,84,TD,1563163518,77,13.47,14.72,81.09,19.55
208,omboue,21,GA,1563163395,86,-1.57,9.26,73.53,13.98
209,balikpapan,91,ID,1563163473,66,-1.24,116.86,80.37,5.73
210,lompoc,90,US,1563163197,100,34.64,-120.46,68.0,6.93
211,kruisfontein,0,ZA,1563163399,84,-34.0,24.73,47.97,5.12
212,rocha,71,UY,1563163403,93,-34.48,-54.34,41.49,2.84
213,souillac,0,FR,1563163419,67,45.6,-0.6,64.99,9.17
214,hasaki,75,JP,1563163396,83,35.73,140.83,79.0,11.41
215,juneau,90,US,1563163225,77,58.3,-134.42,63.0,4.7
216,broken hill,90,AU,1563163518,66,-31.97,141.45,53.6,14.99
217,eseka,99,CM,1563163518,98,3.65,10.77,71.73,0.6
218,kaka,0,TM,1563163519,44,37.35,59.62,89.01,22.75
219,zonguldak,100,TR,1563163519,86,41.25,31.83,67.41,21.94
220,san quintin,40,PH,1563163422,63,17.54,120.52,87.21,4.09
221,halifax,5,CA,1563163230,100,44.65,-63.58,63.0,2.42
222,saint george,20,GR,1563163397,77,39.45,22.34,66.2,3.36
223,nikolskoye,0,RU,1563163245,71,59.7,30.79,57.0,2.24
224,paredon,0,BO,1563163519,69,-18.93,-65.16,46.89,4.12
225,lar,0,IR,1563163519,43,27.66,54.32,87.8,3.6
226,kodinsk,100,RU,1563163519,97,58.6,99.18,59.85,6.15
227,champerico,75,MX,1563163288,88,16.38,-93.6,77.0,2.15
228,mikhaylovka,100,RU,1563163520,95,52.96,103.29,58.05,8.34
229,dandong,100,CN,1563163520,85,40.12,124.37,71.73,0.49
230,eldoret,0,KE,1563163520,93,0.52,35.27,53.6,5.82
231,marsa matruh,20,EG,1563163301,83,31.35,27.25,75.2,9.53
232,coquimbo,0,CL,1563163411,76,-29.95,-71.34,48.2,3.36
233,montargis,0,FR,1563163520,87,48.0,2.74,55.99,9.17
234,rapid valley,1,US,1563163375,94,44.06,-103.15,73.0,6.93
235,volodarka,100,UA,1563163520,91,49.52,29.93,56.97,4.5
236,lima,90,PE,1563163421,87,-12.06,-77.04,60.8,9.17
237,healdsburg,1,US,1563163521,56,38.61,-122.87,79.0,3.36
238,neryungri,18,RU,1563163521,78,56.66,124.71,67.77,5.66
239,gazojak,0,TM,1563163521,8,41.19,61.4,95.85,4.9
240,kinsale,20,IE,1563163521,93,51.71,-8.52,57.99,4.7
241,tomatlan,100,MX,1563163521,84,19.93,-105.25,80.37,11.18
242,sao sebastiao,0,BR,1563163521,89,-3.15,-58.36,74.25,2.1
243,atbasar,0,KZ,1563163522,52,51.81,68.36,73.53,13.89
244,airai,100,TL,1563163422,49,-8.93,125.41,81.09,0.96
245,cheyenne,40,US,1563163522,63,41.14,-104.82,72.0,9.17
246,socorro,40,US,1563163522,17,31.65,-106.3,95.0,5.82
247,cajamarca,100,PE,1563163522,82,-7.16,-78.52,54.45,1.32
248,aykhal,40,RU,1563163522,46,65.95,111.51,69.8,4.47
249,alyangula,67,AU,1563163461,56,-13.85,136.42,73.4,10.29
250,kpandae,100,GH,1563163523,88,8.46,-0.01,73.53,3.33
251,bathsheba,75,BB,1563163408,83,13.22,-59.52,80.6,27.51
252,arraial do cabo,1,BR,1563163414,74,-22.97,-42.02,72.09,4.83
253,amaigbo,100,NG,1563163523,93,5.78,7.83,73.17,5.53
254,dharmavaram,100,IN,1563163523,60,14.41,77.72,81.45,18.99
255,washougal,1,US,1563163523,41,45.58,-122.35,79.0,6.93
256,araxa,0,BR,1563163523,60,-19.59,-46.94,60.21,3.0
257,vao,53,EE,1563163407,73,59.1,26.19,49.77,5.01
258,kumasi,79,GH,1563163524,99,6.7,-1.62,68.13,2.33
259,mabaruma,25,GY,1563163448,97,8.2,-59.78,71.73,1.36
260,vardo,1,US,1563163450,83,39.62,-77.74,79.0,4.32
261,pacific grove,1,US,1563163524,53,36.62,-121.92,77.0,6.93
262,longyearbyen,75,NO,1563163302,75,78.22,15.63,44.6,6.93
263,faya,80,SA,1563163269,60,18.39,42.45,78.8,5.82
264,bosaso,28,SO,1563163327,64,11.28,49.18,87.21,9.95
265,shingu,75,JP,1563163524,83,33.72,135.99,78.8,4.7
266,morrope,0,PE,1563163524,29,-6.54,-80.02,66.2,16.11
267,coari,27,BR,1563163524,90,-4.09,-63.14,73.89,3.51
268,nurota,0,UZ,1563163525,21,40.56,65.69,91.4,4.7
269,tari,100,NG,1563163525,52,12.41,4.49,85.41,9.13
270,iguape,78,BR,1563163525,94,-24.7,-47.56,65.61,4.54
271,baturaja,27,ID,1563163525,63,-4.12,104.17,81.45,5.01
272,suntar,63,RU,1563163525,51,62.16,117.65,75.33,9.84
273,shelopugino,1,RU,1563163525,25,51.65,117.56,79.65,5.35
274,san rafael,0,AR,1563163525,43,-34.61,-68.33,48.33,11.5
275,davila,40,PH,1563163422,74,18.47,120.58,87.8,6.93
276,vargashi,100,RU,1563163526,62,55.36,65.85,73.17,13.15
277,tevriz,0,RU,1563163526,62,57.51,72.4,74.61,5.68
278,ouargaye,13,BF,1563163526,60,11.5,0.06,80.37,8.28
279,bonavista,100,CA,1563163300,83,48.65,-53.11,50.0,7.0
280,saskylakh,0,RU,1563163413,45,71.97,114.09,55.17,12.39
281,manokwari,0,ID,1563163526,70,-0.87,134.08,78.93,5.73
282,leh,92,IN,1563163526,47,34.16,77.58,43.29,1.54
283,norfolk,1,US,1563163527,94,36.85,-76.29,84.0,5.41
284,mezofalva,0,HU,1563163527,100,46.93,18.77,59.0,5.82
285,saint stephen,1,US,1563163527,100,45.7,-94.27,77.0,11.7
286,cap malheureux,75,MU,1563163447,88,-19.98,57.61,68.0,12.75
287,great yarmouth,100,GB,1563163527,87,52.61,1.73,57.0,4.7
288,dixon,1,US,1563163527,88,41.84,-89.48,79.0,5.82
289,tolstoy-yurt,0,RU,1563163527,88,43.44,45.77,62.6,6.71
290,maamba,56,ZM,1563163528,56,-17.36,27.22,49.41,2.64
291,mbandaka,100,CD,1563163528,96,0.05,18.26,69.21,2.46
292,san vicente,75,EC,1563163528,88,-0.59,-80.41,75.2,4.7
293,urengoy,21,RU,1563163528,56,65.96,78.37,77.85,13.69
294,merano,75,IT,1563163528,87,46.67,11.16,53.6,4.7
295,cao bang,94,VN,1563163528,78,22.67,106.25,79.29,3.22
296,den helder,90,NL,1563163529,71,52.96,4.76,57.99,6.93
297,richards bay,0,ZA,1563163456,82,-28.77,32.06,66.33,14.74
298,conakry,86,GN,1563163426,82,9.52,-13.7,78.57,7.81
299,camacha,75,PT,1563163411,88,33.08,-16.33,69.8,13.87
300,shitanjing,98,CN,1563163448,32,39.23,106.34,82.0,5.99
301,ca mau,95,VN,1563163529,58,9.18,105.15,90.09,13.87
302,ailigandi,52,PA,1563163423,80,9.23,-78.02,81.09,5.97
303,te anau,100,NZ,1563163384,64,-45.41,167.72,42.57,3.56
304,innisfail,99,AU,1563163529,47,-17.52,146.03,69.01,5.01
305,tucumcari,1,US,1563163408,32,35.17,-103.73,81.0,9.17
306,acapulco,75,MX,1563163462,83,16.86,-99.88,82.4,6.93
307,edd,90,ER,1563163529,37,13.93,41.69,88.65,3.69
308,grand gaube,75,MU,1563163475,88,-20.01,57.66,68.0,12.75
309,mangai,22,CD,1563163530,68,-4.07,19.59,72.81,2.71
310,barentin,0,FR,1563163530,93,49.55,0.95,55.0,5.82
311,faratsiho,0,MG,1563163530,55,-19.41,46.95,47.25,3.85
312,college,75,US,1563163405,49,64.86,-147.8,73.99,5.82
313,nantucket,1,US,1563163530,69,41.28,-70.1,75.99,5.82
314,broome,58,GB,1563163427,87,52.47,1.45,57.0,4.7
315,ilhabela,0,BR,1563163255,64,-23.78,-45.36,74.61,9.35
316,oktyabrskoye,0,RU,1563163530,59,56.73,85.44,70.0,8.95
317,port augusta,29,AU,1563163531,76,-32.49,137.76,57.2,10.29
318,san pedro,100,AR,1563163531,84,-33.68,-59.66,48.99,7.72
319,severo-kurilsk,100,RU,1563163404,96,50.68,156.12,44.37,12.08
320,quatre cocos,75,MU,1563163292,88,-20.21,57.76,68.0,12.75
321,itaituba,24,BR,1563163531,94,-4.26,-55.99,72.09,1.97
322,hobyo,71,SO,1563163328,66,5.35,48.53,77.49,18.41
323,luba,40,PH,1563163531,63,17.32,120.7,87.21,4.09
324,nizhniy chir,4,RU,1563163531,60,48.36,43.08,67.41,0.85
325,mandalgovi,100,MN,1563163397,37,45.76,106.27,76.05,12.3
326,gat,0,SN,1563163395,83,14.69,-16.54,77.0,6.93
327,abatskoye,0,RU,1563163532,76,56.29,70.46,73.53,9.89
